time,sfe,ssip,rfip,type
"11/18/2024, 06:04:18",1,0,1.0,0
"11/18/2024, 06:04:21",4,3,1.0,0
"11/18/2024, 06:04:24",8,5,1.0,0
"11/18/2024, 06:04:27",18,7,1.0,0
"11/18/2024, 06:04:30",24,9,1.0,0
"11/18/2024, 06:04:33",28,10,1.0,0
"11/18/2024, 06:04:36",34,10,1.0,0
"11/18/2024, 06:04:39",38,10,1.0,0
"11/18/2024, 06:04:42",44,10,1.0,0
"11/18/2024, 06:04:45",48,10,1.0,0
"11/18/2024, 06:04:48",6,0,1.0,0
"11/18/2024, 06:04:51",56,10,1.0,0
"11/18/2024, 06:04:54",62,10,1.0,0
"11/18/2024, 06:04:57",62,10,1.0,0
"11/18/2024, 06:05:00",70,10,1.0,0
"11/18/2024, 06:05:03",70,10,1.0,0
"11/18/2024, 06:05:06",72,10,1.0,0
"11/18/2024, 06:05:09",78,10,1.0,0
"11/18/2024, 06:05:12",78,10,1.0,0
"11/18/2024, 06:05:15",0,0,1.0,0
"11/18/2024, 06:05:18",82,10,1.0,0
"11/18/2024, 06:05:21",82,10,1.0,0
"11/18/2024, 06:05:24",86,10,1.0,0
"11/18/2024, 06:05:27",86,10,1.0,0
"11/18/2024, 06:05:30",88,10,1.0,0
"11/18/2024, 06:05:33",88,10,1.0,0
"11/18/2024, 06:05:36",90,10,1.0,0
"11/18/2024, 06:05:39",90,10,1.0,0
"11/18/2024, 06:05:42",90,10,1.0,0
"11/18/2024, 06:05:45",90,10,1.0,0
"11/18/2024, 06:05:48",90,10,1.0,0
"11/18/2024, 06:05:51",90,10,1.0,0
"11/18/2024, 06:05:54",90,10,1.0,0
"11/18/2024, 06:05:57",90,10,1.0,0
"11/18/2024, 06:06:00",90,10,1.0,0
"11/18/2024, 06:06:03",90,10,1.0,0
"11/18/2024, 06:06:06",90,10,1.0,0
"11/18/2024, 06:06:09",90,10,1.0,0
"11/18/2024, 06:06:12",90,10,1.0,0
"11/18/2024, 06:06:15",90,10,1.0,0
"11/18/2024, 06:06:18",90,10,1.0,0
